Codigo,Descripcion,Familia,FactorCajas,CajXEstiba,Contenido,VidaUtil,FLimiteDesp,MinimoT1,MinimoT2,MinimoKA
14603,"AGUA PURA ZALVA 1,5 L X 6",Pet,6,100,1500,180,30,127.0,30,45
12026,Agua Zalva Sin Gas Pet 600Cc X 12,Pet,12,120,600,180,30,127.0,30,45
8073+,Aguila  Lat 355 x 6,Ret,6,672,330,120,30,85,30,45
14703,"Aguila 0,0 LTA 330CCX6",Lata,6,480,330,180,30,127.0,30,90
9553,"Aguila 0,0 LTA 355CCX6",Lata,6,480,355,270,30,190,30,90
9551,"Aguila 0,0 RB 330CC X 30",Ret,30,45,330,180,30,127.0,30,90
9581,"Aguila 0,0 TW 330cc x 24 MANUAL",Tw,24,75,330,180,30,127.0,30,90
9557,Aguila 0.0 tw 330x6,Tw,6,300,330,180,30,127.0,30,90
26,Aguila Brr 50L X 1,Barril,1,9,50,60,15,43,15,15
025,Barril 30L Vacio,Barril,1,9,30,0,0,1,15,15
5121,Aguila Cero Lta 330cc X 24,Lata,24,120,330,180,30,127.0,30,90
5119,Aguila Cero R 330cc X 30,Ret,30,45,330,180,30,127.0,30,90
5739,Aguila Cero R 330Cc X 30 Pro,Ret,30,45,330,180,30,127.0,30,90
5120,Aguila Cero TW 330cc X 24,Tw,24,75,330,180,30,127.0,30,90
8062,Aguila Cero Tw 330Cc X 24 Evt,NR,24,75,330,120,30,85,30,90
9857,Aguila Cero Tw 330Cc X 24 Manual,Tw,24,75,330,180,30,127.0,30,90
9847,Aguila Cero Tw 330Cc X 30,Tw,30,45,330,180,30,127.0,30,90
3888,Aguila Exp Tw 330Ccx24 Suecia,NR,24,75,330,365,30,256.5,30,90
9141,Aguila Fusion Limon 269Cc Lata X 24,Lata,24,130,269,180,30,127.0,30,90
11162,Aguila Fusion Limon 269Cc Lata X 6,Lata,6,520,269,180,30,127.0,30,90
11162+,Aguila Fusion Limon 269Cc Lata X 6,Lata,6,520,269,180,30,127.0,30,90
9143,Aguila Fusion Limon 330Cc Bot Rb X 30,Ret,30,45,330,180,30,127.0,30,90
9143+,Aguila Fusion Limon 330Cc Bot Rb X 30,Ret,30,54,330,180,30,127.0,30,90
11182,Aguila Fusion Limon Tw 330Cc X 6,Tw,6,260,330,180,30,127.0,30,90
21871,Aguila IMPERIAL  330cc X 30,Ret,30,45,330,180,30,127.0,30,90
22142,Aguila IMPERIAL TW 330ccX6 N,Tw,6,240,330,180,30,127.0,30,90
7089,Aguila Lig Exp Nr 330Cc X 24 Aruba,NR,24,75,330,365,30,256.5,30,90
22102,Costeña bcna lta 269 Ccx6,Lata,6,600,269,180,30,127.0,30,90
7584,Aguila Lig Lta 269Cc X 6,Lata,6,600,269,180,30,127.0,30,90
7584-,Aguila Lig Lta 269Cc X 6,Lata,6,520,269,180,30,127.0,30,90
4477,AGUILA LIG LTA 269CCX24,Lata,24,130,269,180,30,127.0,30,90
3867,Aguila Lig Lta 330Ccx24 Evt,Lata,24,120,330,120,30,85,30,90
5507,Aguila Lig Lta 330Ccx24 Pro,Lata,24,120,330,120,30,85,30,90
3878,Aguila Lig Lta 330Ccx6 Evt,Lata,6,480,330,120,30,85,30,90
3803,Aguila Lig Lta 330Ccx6 Pro,Lata,6,480,330,120,30,85,30,90
7952,Aguila Lig Lta 330Ccx8 Ka,Lata,8,0,330,120,30,85,30,90
7951,Aguila Lig Lta 330Ccx8 Tat,Lata,8,0,330,180,30,127.0,30,90
5905,Aguila Lig Lta 473ccX18,Lata,18,105,473,180,30,127.0,30,90
5632,Aguila Lig Lta 473ccX6,Lata,6,336,473,180,30,127.0,30,90
2169,Aguila Lig Lta N 330ccX12,Lata,12,240,330,270,30,190,30,90
2170,Aguila Lig LtaN 330ccX24,Lata,24,120,330,180,30,127.0,30,90
22315,Aguila Lig CAN LtaN 330ccX6 THERMO INK,Lata,6,480,330,180,30,127.0,30,90
21184,Aguila Lig NR 330cc X 30,Ret,30,45,330,180,30,127.0,30,90
3647,Aguila Lig R 330 X 30 Pro,Ret,30,45,330,180,30,127.0,30,90
5726,Aguila Lig R 330 X 30 Pro2,NR,30,45,330,120,30,85,30,90
2160,Aguila Lig R 330cc X 30,Ret,30,45,330,180,30,127.0,30,90
2160+,Aguila Lig R 330cc X 30,Ret,30,54,330,180,30,127.0,30,90
3664,Aguila Lig R 750cc X 16,Ret,16,36,750,180,30,127.0,30,90
3664+,Aguila Lig R 750cc X 16,Ret,16,36,750,180,30,127.0,30,90
9482,Aguila Lig Rn 1000Cc X 13,Ret,13,36,1000,180,30,127.0,30,90
2157,Aguila Lig TW 330cc X 24,Tw,24,75,330,180,30,127.0,30,90
9858,Aguila Lig Tw 330Cc X 24 Manual,Tw,24,75,330,180,30,127.0,30,90
9846,Aguila Lig Tw 330Cc X 30,Tw,30,45,330,180,30,127.0,30,90
9127-,Aguila Lig Tw 330X6 Canastilla,Tw,6,240,330,180,30,127.0,30,90
9127,Aguila Lig Tw 330X6 Canastilla,Tw,6,260,330,180,30,127.0,30,90
9139,Aguila Ligh Rn 250Cc X 38,Ret,38,45,250,180,30,127.0,30,90
3656,Aguila Lta 269cc X 24,Lata,24,130,269,270,30,190,30,90
9909,Aguila Lta 269Cc X 6,Lata,6,600,269,270,30,190,30,90
9909-,Aguila Lta 269Cc X 6,Lata,6,520,269,270,30,190,30,90
3229,Aguila Lta 330ccX 12 Lna,Lata,12,240,330,270,30,190,30,90
11747,Aguila Lta 355Cc X 6 + Camisa Colombia,Lata,6,324,355,180,30,127.0,30,90
8063,Aguila Lta 355Ccx 24,Lata,24,120,355,270,30,190,30,90
8507,Aguila Lta 355Ccx 6 Evt,Lata,6,480,355,120,30,85,30,90
8072,Aguila Lta 355Ccx12,Lata,12,240,355,270,30,190,30,90
8073,Aguila Lta 355Ccx6,Lata,6,480,355,270,30,190,30,90
5904,Aguila Lta 473cc X 18,Lata,18,105,473,270,30,190,30,90
5630,Aguila Lta 473cc X 6,Lata,6,336,473,270,30,190,30,90
2173,Aguila Lta N 330cc X 24,Lata,24,120,330,270,30,190,30,90
2174,Aguila Lta N 330cc X 6,Lata,6,480,330,270,30,190,30,90
19877,Aguila Lta N 330cc X 6 ED INDEP,Lata,6,480,330,270,30,190,30,90
20254,Aguila Lta N 330cc X 6 Femenino Mundial,Lata,6,480,330,270,30,190,30,90
20668,Aguila Lta N 330cc X 6 SIX,Lata,6,480,330,270,30,190,30,90
21182,Aguila NR 330cc X 30,NR,30,45,330,180,30,127.0,30,90
21187,Aguila NR 750cc X 16,Ret,16,36,750,180,30,127.0,30,90
22006,AGUILA ORIGINAL  LTA 330 CC *12 LN9,LATA,12,250,330,270,30,190,30,90
3059,Aguila R 330Cc X 30 Evt,NR,30,45,330,120,30,85,30,90
2986,Aguila R 330cc X 30 Pro,Ret,30,45,330,180,30,127.0,30,90
3583,Aguila R 750cc X 16,Ret,16,36,750,180,30,127.0,30,90
11120,Aguila Rn 1000Cc X 12,Ret,12,30,1000,180,30,127.0,30,90
9494,Aguila Rn 1000Cc X 13,Ret,13,36,1000,180,30,127.0,30,90
9494-,Aguila Rn 1000Cc X 13,Ret,13,27,1000,180,30,127.0,30,90
3130,Aguila RN 225cc X 38,Ret,38,54,225,180,30,127.0,30,90
3128,Aguila RN 330cc X 30,Ret,30,45,330,180,30,127.0,30,90
3128+,Aguila RN 330cc X 30,Ret,30,54,330,180,30,127.0,30,90
2154,Aguila TW 330cc X 24,Tw,24,75,330,180,30,127.0,30,90
9856,Aguila Tw 330Cc X 24 Manual,Tw,24,75,330,180,30,127.0,30,90
9845,Aguila Tw 330Cc X 30,Tw,30,45,330,180,30,127.0,30,90
9128,Aguila Tw 330Cc X 6 Canastilla,Tw,6,260,330,180,30,127.0,30,90
3221,Aguila TW 330cc X 6 Lna,Tw,6,300,330,180,30,127.0,30,90
8515,Aguila Lta 355Ccx 24 Pro,Lata,24,120,355,120,30,85,30,90
16466,Austen lager 330x6,Lata,6,480,355,180,30,127.0,30,90
8923,Azteca Lata-330 X 6,Lata,6,480,330,270,30,190,30,90
9675,Azteca Rb 330 X 30,Ret,30,45,330,180,30,127.0,30,90
19303,Bahia Lager Lat 330cc X6,Lata,6,480,330,180,30,127.0,30,90
15545,BAHIA LAGER LTA 330X24,Lata,24,120,330,180,30,127.0,30,90
13766,Bahia Lat 330cc X6,Lata,6,480,330,270,30,190,30,90
7872,Bahia Lig R 225Cc X 38,Ret,38,54,225,180,30,127.0,30,90
9963,Bahia Lta 330Cc X 24,Lata,24,120,330,270,30,190,30,90
493,Barril Acero Inox Din 20 Lt,Barril,1,9,20,120,,85,30,90
025,Barril Acero Inox Din 30 Lt,Ret,1,9,30,120,,85,30,90
026,Barril Acero Inox Din 50 Lt,Ret,1,9,50,120,,85,,
12388,BBC  Nr330ccX4,Tw,3,480,330,180,30,127.0,30,90
7607,BBC Aguinaldo Mix Nr330Ccx6,NR,6,360,330,180,30,127.0,30,90
7782,BBC Bacata Blanca Brr 30L x 1,Barril,1,16,30,60,15,43,15,15
7781,BBC Bacata Blanca Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
7897,BBC Bacata Blanca Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7593,BBC Bacata Blanca Nr330ccX24,Tw,24,60,330,180,30,127.0,30,90
7594,BBC Bacata Blanca Nr330ccX4,Tw,4,360,330,180,30,127.0,30,90
7594+,BBC Bacata Blanca Nr330ccX4,Tw,4,504,330,180,30,127.0,30,90
587,BBC Barril Acero Inox Din 30 Lt,Barril,1,9,30,120,,85,,
22202,BBC CAJICA MIEL BRR 29.7L X1,Barril,1,16,30,60,15,43,15,15
7790,BBC CAJICA MIEL BRR 30L X 1,Barril,1,16,30,60,15,43,15,15
7804,BBC Cajica Miel Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
14833,BBC CAJICA MIEL DUO 330 X 2,Lata,2,1008,250,180,0,127.0,30,90
13859,BBC Cajica Miel Lta 269 x 12,Lata,12,312,269,180,30,127.0,30,90
13858,BBC Cajica Miel Lta 269 x 24,Lata,24,156,269,180,30,127.0,30,90
12283,BBC Cajica Miel Lta 269 x 4,Lata,4,780,269,180,30,127.0,30,90
7898,BBC Cajica Miel Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7598,BBC Cajica Miel Nr330ccX24,Tw,24,60,330,180,30,127.0,30,90
7599,BBC Cajica Miel Nr330ccX4,Tw,4,360,330,180,30,127.0,30,90
7599+,BBC Cajica Miel Nr330ccX4,Tw,4,504,330,180,30,127.0,30,90
9196,BBC Cajica Miel Nr330Ccx5 Agr,Tw,5,160,330,180,30,127.0,30,90
7600,BBC Candelaria Clasic Nr 330x24,Tw,24,60,330,180,30,127.0,30,90
7601,BBC Candelaria Clasic Nr 330x4 Four PK,Tw,4,360,330,180,30,127.0,30,90
7601+,BBC Candelaria Clasic Nr 330x4 Four PK,Tw,4,504,330,180,30,127.0,30,90
7601-,BBC Candelaria Clasic Nr 330x4 Four PK,Tw,4,432,330,180,30,127.0,30,90
7806,BBC Candelaria Clásica Brr 30L X 1,Barril,1,16,30,60,15,43,15,15
7805,BBC Candelaria Clasica Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
7903,BBC Candelaria Clasica Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
8130,BBC Cerro De Guadalupe Nr 330Cc X 4,NR,4,360,330,120,30,85,30,90
22001,BBC CHAPINERO BRR 29.7L X1,Barril,1,16,30,60,15,43,15,15
7807,BBC CHAPINERO PORTER BRR 30L X 1,Barril,1,16,30,60,15,43,15,15
7814,BBC Chapinero Porter Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
7602,BBC Chapinero Porter Nr 330x24,Tw,24,60,330,180,30,127.0,30,90
7603,BBC Chapinero Porter Nr 330x4 Four PK,Tw,4,360,330,180,30,127.0,30,90
7603+,BBC Chapinero Porter Nr 330x4 Four PK,Tw,4,504,330,180,30,127.0,30,90
7902,BBC Chapinero Porter Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7797,BBC Chia Weiss Brr 30L X 1,Barril,1,16,30,60,15,43,15,15
7815,BBC Chia Weiss Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
7832,BBC Don Rufino Brr 30L X 1,Barril,1,16,30,60,15,43,15,15
7833,BBC Don Rufino Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
14833+,BBC Duo Pack Nr330ccX2,Tw,12,504,330,120,30,85,30,90
12013,BBC La Cotidiana 269CC LTA X 24,Lata,24,150,269,180,30,127.0,30,90
12012,BBC La Cotidiana 269CC LTA X 4,Lata,4,702,269,180,30,127.0,30,90
17075,BBC La Cotidiana 269CC LTA X 6,Lata,6,468,269,270,30,190,30,90
22284,BBC LAGER BRR 29.7L X1,Barril,1,16,30,60,15,43,15,15
7780,BBC LAGER BRR 30L x 1,Barril,1,16,30,60,15,43,15,15
7783,BBC Lager Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
7597,BBC Lager Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7595,BBC Lager Nr330ccX24,Tw,24,60,330,180,30,127.0,30,90
7596,BBC Lager Nr330ccX6,Tw,6,240,330,180,30,127.0,30,90
7596-,BBC Lager Nr330ccX6,Tw,6,288,330,180,30,127.0,30,90
7596+,BBC Lager Nr330ccX6,Tw,6,336,330,180,30,127.0,30,90
8085,BBC Macondo Nr330Cc 4Px6U,Tw,4,360,330,180,30,127.0,30,90
8085+,BBC Macondo Nr330Cc 4Px6U,Tw,4,504,330,180,30,127.0,30,90
22003,BBC MONSERRATE BRR 29.7L X1,Barril,1,16,30,60,15,43,15,15
7676,BBC Monserrate Rj Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7604,BBC Monserrate Rj Nr330ccX24,Tw,24,60,330,180,30,127.0,30,90
7605,BBC Monserrate Rj Nr330ccX4,Tw,4,360,330,180,30,127.0,30,90
7605+,BBC Monserrate Rj Nr330ccX4,Tw,4,504,330,180,30,127.0,30,90
7836,BBC MONSERRATE ROJA BRR 30L x 1,Barril,1,16,30,60,15,43,15,15
7838,BBC Monserrate Roja Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
14908,BBC Poker pura malta 330 x 6 NR,Lata,6,504,330,180,30,127.0,30,90
7839,BBC Policarpa Fte Brr 30L X 1,Barril,1,16,30,60,15,43,15,15
7840,BBC Policarpa Fte Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
21159,BBC ROSE  Lta 269 x 4,Lata,4,780,269,180,30,127.0,30,90
21161+,BBC ROSE NR BOT 330ccX4,Tw,4,504,330,180,30,127.0,30,90
21161,BBC ROSE NR BOT 330ccX4,Tw,4,360,330,180,30,127.0,30,90
7857,BBC SEPTIMAZO IPA BRR 30L x 1,Barril,1,16,30,60,15,43,15,15
7858,BBC Septimazo Ipa Brr 58L X 1,Barril,1,16,58,60,15,43,15,15
7900,BBC Septimazo Ipa Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7675,BBC Septimazo Ipa Nr330Ccx24,NR,24,60,330,180,30,127.0,30,90
7660,BBC SEPTIMAZO IPA NR330CCX4,Tw,4,360,330,180,30,127.0,30,90
7660+,BBC SEPTIMAZO IPA NR330CCX4,Tw,4,504,330,180,30,127.0,30,90
12388+,BBC Three Pack Nr330ccX3,Tw,3,672,330,120,30,85,30,90
7859,BBC Triqui Tri Brr 30L X 1,Barril,1,16,30,60,15,43,15,15
8166,BBC Triqui Tri Nr 330Cc X 4,Tw,4,360,330,180,30,127.0,30,90
7861,BBC Tutaina Brr 30L X 1,Barril,1,16,30,180,15,127.0,15,15
8186,BBC Tutatina Nr 330 X 4 Growl,NR,4,128,330,180,30,127.0,30,90
7883,BBC Usaquen Stout Brr 30L X 1,Barril,1,16,30,180,15,127.0,15,15
7884,BBC Usaquen Stout Brr 58L X 1,Barril,1,16,58,180,15,127.0,15,15
7899,BBC Zanahoria Nr330Ccx12,NR,12,120,330,180,30,127.0,30,90
7606,BBC Zanahoria Nr330Ccx24,NR,24,60,330,90,30,64.0,30,90
7887,BBC Zipaquira Aba Brr 30L X 1,Barril,1,16,30,180,15,127.0,15,15
7888,BBC Zipaquira Aba Brr 58L X 1,Barril,1,16,58,180,15,127.0,15,15
17157,BECKS LATA 269 Cc x6,Lata,6,600,269,270,30,190,30,90
14706,Becks Lta 330Cc X 6,Lata,6,480,355,270,30,190,30,90
8813,Becks Lta 355Cc X 24,Lata,24,120,355,270,30,190,30,90
8828,Becks Lta 355Cc X 6,Lata,6,480,355,270,30,190,30,90
8221,Becks Nr 275Cc 4Px6U,NR,6,260,275,365,30,256.5,30,90
8815,Becks Nr 275Cc X 6,Tw,6,260,275,270,30,190,30,90
8815+,Becks Nr 275Cc X 6,Tw,6,312,275,270,30,190,30,90
887,Botella Flint 1000R,Ret,13,36,1000,120,30,85,30,90
225,Botella Flint 250 Cc,Ret,38,45,250,120,30,85,30,90
888,Botella Marron 1000Cc,Ret,13,36,1000,120,30,85,30,90
226,Botella Marron 250 Cc,Ret,38,45,250,120,30,85,30,90
226-,Botella Marron 250 Cc,Ret,38,45,250,120,30,85,30,90
8075,Budweiser Al 355Cc X 24,Tw,24,60,355,180,30,127.0,30,90
19184,Budweiser Lat 355x6,Lata,6,480,355,270,30,190,30,90
7996,Budweiser Lta  269Ccx12 Pack,Lata,12,270,269,270,30,190,30,90
20004,Budweiser Lta  269Ccx12 Pack MAQUILADA,Lata,12,270,269,270,30,190,30,90
21951,Budweiser Lta  269Ccx12 Pack TERMO L9,Lata,12,320,269,270,30,190,30,90
7993,Budweiser Lta  269Ccx24 Pack,Lata,24,150,269,270,30,190,30,90
11794,Budweiser Lta  269Ccx24 Pack,Lata,24,130,269,270,30,190,30,90
8531,Budweiser Lta  269Ccx24 Pack MESSI,Lata,24,130,269,270,30,190,30,90
7990,Budweiser Lta  269Ccx6 Pack,Lata,6,540,269,270,30,190,30,90
9672,Budweiser Lta  269Ccx6 Pack TERMO,Lata,6,600,269,270,30,190,30,90
22612,Budweiser CAN  269Ccx6  TERMO EXP ECU,Lata,6,600,269,270,30,190,30,90
20677,Budweiser Lta  269Ccx6 SXP,Lata,6,660,269,270,30,190,30,90
8567,Budweiser Lta 269Ccx24 Exp,Lata,24,130,269,270,30,190,30,90
12273,Budweiser Lta 269Ccx24 Exp,Lata,24,182,269,270,30,190,30,90
8567+,Budweiser Lta 269Ccx24 Exp,Lata,24,150,269,270,30,190,30,90
7674,Budweiser Lta 295cc 2PX12U,Lata,12,216,295,365,30,256.5,30,90
7609,Budweiser Lta 295cc X 12,Lata,12,216,295,365,30,256.5,30,90
11173,Budweiser Lta 355Ccx24,Lata,24,120,355,270,30,190,30,90
11177,Budweiser Lta 355Ccx6 Manual,Lata,6,480,355,270,30,190,30,90
7991,Budweiser Nr 250Ccx24,Tw,24,90,250,270,30,190,30,90
19954,Budweiser RET 250Ccx38,Ret,38,45,250,270,30,190,30,90
8042,Budweiser Nr 250Ccx6,Tw,6,360,250,270,30,190,30,90
8042-,Budweiser Nr 250Ccx6,Tw,6,260,250,270,30,190,30,90
7994,Budweiser Nr 315Ccx24,Tw,24,75,315,180,30,127.0,30,90
8061,Budweiser Nr 315Ccx6,Tw,6,260,315,180,30,127.0,30,90
22124,Budweiser R 330Ccx30,Ret,30,45,250,180,30,127.0,30,90
7579,Budweiser Tw 355cc 4PX6U,Tw,6,240,355,365,30,256.5,30,90
7617,Budweiser Tw 355cc X 6,Tw,6,240,355,365,30,256.5,30,90
8212,Busch Light Lta 330Ccx24,Lata,24,120,330,180,30,127.0,30,90
8213,Busch Light Lta 330Ccx6,Lata,6,480,330,270,30,190,30,90
8723,Busch Light Lta 330Ccx6 Funda,Lata,6,480,330,270,30,190,30,90
15070,Busch Light Lta 330Ccx6 linea,Lata,6,480,330,180,30,127.0,30,90
8814,Busch Light Rb 330Ccx30,Ret,30,45,330,180,30,127.0,30,90
60,Caja carton,Ret,30,45,330,120,,85,,
231,Caja Plástica Café 225Cc X 38,Ret,1,54,225,120,,85,,
159,Caja Plástica Café 330Cc X 30,Ret,1,45,330,120,,85,,
156,Caja Plástica AZUL 330Cc X 30,Ret,1,45,330,120,30,85,30,90
482,Caja Plástica Café 330Cc X 30 Pallet,Ret,1,45,330,120,30,85,30,90
206,Caja Plástica Café 500Cc X 20,Ret,1,36,500,120,,85,,
387,Caja Plastica Marron 1000Cc X 12,Ret,1,40,1000,120,,85,,
211,Caja Plastica Marron 1000Cc X13,Ret,1,36,1000,120,30,85,30,90
224,Caja Plastica Marron 250Cc X38,Ret,1,45,250,120,30,85,30,90
374,Caja Plastica Marron 750Cc X 16,Ret,1,36,750,120,,85,,
374+,Caja Plastica Marron 750Cc X 16,Ret,1,36,750,120,,85,,
024,Cilindro Co2 20 Kg,Ret,1,30,,120,30,85,,
31,Club Col Brr 30L X 1,Barril,1,9,30,60,15,43,15,15
5626,Club Col Brr 30L X 1 Okf,Barril,1,9,30,60,15,43,15,15
16017,Club col Doble malta 330x6,Lata,6,480,355,180,30,127.0,30,90
15012,Club Col Doble Malta Br 330x30,Ret,30,45,330,180,30,127.0,30,90
15015,Club Col Doble Malta Lta 330 x24,Lata,24,120,330,180,30,127.0,30,90
15024,Club Col Doble Malta Lta 330 x6,Lata,6,480,330,180,30,127.0,30,90
16282,Club Col Doble Malta TW 330 X24,Tw,24,75,250,180,30,127.0,30,90
16920,Club Col Doble Malta TW 330 X6,Tw,6,240,250,180,30,127.0,30,90
19596,Club Col Eterno Lta 330X6 REEMP N CAJA,Lata,6,480,330,270,30,190,30,90
3669,Club Col Exp Tw 330Cc X 24 Esp,NR,24,75,330,365,30,256.5,30,90
3669+,Club Col Exp Tw 330Cc X 24 Esp,NR,24,75,330,365,30,256.5,30,90
9500,Club Col Lata 269Cc X 12,Lata,12,260,269,180,30,127.0,30,90
9500+,Club Col Lata 269Cc X 12,Lata,12,260,269,180,30,127.0,30,90
8532,Club Col Lata 269Cc X 6,Lata,6,600,269,270,30,190,30,90
8532-,Club Col Lata 269Cc X 6,Lata,6,520,269,270,30,190,30,90
8722,Club Col Lata 269Cc X 6,Lata,6,520,269,270,30,190,30,90
15859,Club Col Lta  Roja330X6 N CAJA,Lata,6,480,330,180,30,127.0,30,90
7487,CLUB COL LTA 269CC X 24,Lata,24,130,269,270,30,190,30,90
7487+,CLUB COL LTA 269CC X 24,Lata,24,150,269,270,30,190,30,90
5251,Club Col Lta 330cc X 12 N,Lata,12,240,330,270,30,190,30,90
5250,Club Col Lta 330cc X 24 N,Lata,24,120,330,270,30,190,30,90
7410,Club Col Lta 330Cc X 6 Okf,Lata,6,480,330,180,30,127.0,30,90
6860,Club Col Lta 330Cc X 9 Navidad Agr,Lata,9,160,330,180,30,127.0,30,90
5624,CLUB COL LTA 330CCX24 OKF,Lata,24,120,330,180,30,127.0,30,90
5252,Club Col Lta 330X6 N,Lata,6,480,330,270,30,190,30,90
15854,Club Col Lta 330X6 REEMP N CAJA,Lata,6,480,330,270,30,190,30,90
8158,Club Col Lta 355Cc X 12,Lata,12,240,355,180,30,127.0,30,90
8156,Club Col Lta 355Cc X 24,Lata,24,120,355,180,30,127.0,30,90
8157,Club Col Lta 355Cc X 6,Lata,6,480,355,180,30,127.0,30,90
21146,club col Lta 473ccX6,Lata,6,336,473,270,30,190,30,90
9116,Club Col Mix Lta 330X8 Pro,Lata,8,288,330,180,30,127.0,30,90
6819,Club Col NG Brr 20L X 1,Barril,1,9,20,60,15,43,15,15
8306,Club Col Ng Lata 269Cc X 24,Lata,24,130,269,180,30,127.0,30,90
